TripID,PickupZoneID,DropoffZoneID,PickupDateTime,DistanceKm,FareAmount
1000001,ZONE088,ZONE034,2025-12-19 04:11,13.4,149.85
1000002,ZONE025,ZONE061,2025-12-20 05:55,17.7,153.94
1000003,ZONE018,ZONE018,2025-12-23 16:03,45.5,506.5
1000004,ZONE062,ZONE019,2025-12-22 15:27,15.9,146.43
1000005,ZONE004,ZONE069,2025-12-22 01:42,40.4,442.03
1000006,ZONE027,ZONE073,2025-12-22 04:30,42.6,351.4
1000007,ZONE096,ZONE098,2025-12-19 11:19,12.4,148.57
1000008,ZONE006,ZONE043,2025-12-21 12:50,30.2,265.36
1000009,ZONE064,ZONE014,2025-12-19 09:44,28.4,266.83
1000010,ZONE094,ZONE003,2025-12-21 05:19,2.4,24.69
1000011,ZONE061,ZONE011,2025-12-25 07:26,25.0,273.35
1000012,ZONE026,ZONE100,2025-12-23 10:04,34.9,410.97
1000013,ZONE037,ZONE084,2025-12-21 03:16,7.7,73.88
1000014,ZONE006,ZONE056,2025-12-20 00:39,16.1,169.99
1000015,ZONE073,ZONE065,2025-12-22 07:54,9.4,100.84
1000016,ZONE019,ZONE016,2025-12-20 09:54,26.4,316.48
1000017,ZONE055,ZONE073,2025-12-20 13:47,38.2,342.3
1000018,ZONE078,ZONE094,2025-12-24 10:51,18.1,154.27
1000019,ZONE091,ZONE097,2025-12-21 09:49,44.7,386.14
1000020,ZONE011,ZONE063,2025-12-24 23:24,38.0,377.97
1000021,ZONE014,ZONE016,2025-12-19 04:33,8.2,101.48
1000022,ZONE046,ZONE061,2025-12-20 03:48,10.2,108.13
1000023,ZONE021,ZONE052,2025-12-22 04:29,41.4,364.63
1000024,ZONE004,ZONE008,2025-12-20 05:29,12.4,141.65
1000025,ZONE042,ZONE017,2025-12-22 00:08,39.0,415.28
1000026,ZONE043,ZONE020,2025-12-21 03:57,25.9,251.84
1000027,ZONE010,ZONE029,2025-12-21 11:26,42.6,486.8
1000028,ZONE082,ZONE085,2025-12-23 06:25,9.2,81.53
1000029,ZONE073,ZONE089,2025-12-23 05:12,12.3,141.44
1000030,ZONE096,ZONE099,2025-12-18 19:27,30.9,301.17
1000031,ZONE083,ZONE093,2025-12-24 10:04,11.9,105.4
1000032,ZONE036,ZONE083,2025-12-23 20:33,43.1,403.35
1000033,ZONE042,ZONE025,2025-12-22 04:48,43.1,361.58
1000034,ZONE018,ZONE084,2025-12-23 02:20,7.0,73.36
1000035,ZONE019,ZONE077,2025-12-19 23:50,2.0,25.76
1000036,ZONE073,ZONE034,2025-12-19 01:21,34.6,389.05
1000037,ZONE060,ZONE062,2025-12-23 21:52,47.0,454.91
1000038,ZONE047,ZONE024,2025-12-21 21:11,0.8,12.23
1000039,ZONE064,ZONE092,2025-12-23 11:53,33.0,392.59
1000040,ZONE058,ZONE080,2025-12-21 11:44,31.5,264.65
1000041,ZONE044,ZONE010,2025-12-21 17:15,20.0,223.3
1000042,ZONE074,ZONE091,2025-12-20 04:50,18.9,186.61
1000043,ZONE026,ZONE066,2025-12-20 10:11,28.3,275.86
1000044,ZONE070,ZONE010,2025-12-23 11:34,26.3,311.79
1000045,ZONE058,ZONE019,2025-12-21 13:49,2.2,31.08
1000046,ZONE065,ZONE004,2025-12-23 20:10,8.4,94.22
1000047,ZONE038,ZONE083,2025-12-25 09:43,2.1,26.66
1000048,ZONE047,ZONE010,2025-12-21 23:15,17.7,170.95
1000049,ZONE098,ZONE041,2025-12-21 10:42,1.7,22.85
1000050,ZONE066,ZONE069,2025-12-22 12:33,28.0,272.58
1000051,ZONE021,ZONE047,2025-12-21 17:59,37.6,384.15
1000052,ZONE026,ZONE032,2025-12-22 21:44,14.9,164.27
1000053,ZONE008,ZONE079,2025-12-19 03:03,14.9,177.02
1000054,ZONE078,ZONE054,2025-12-19 10:31,39.6,424.66
1000055,ZONE043,ZONE071,2025-12-22 20:01,36.7,324.48
1000056,ZONE035,ZONE061,2025-12-22 15:42,35.8,412.84
1000057,ZONE088,ZONE100,2025-12-21 09:24,36.6,366.92
1000058,ZONE026,ZONE026,2025-12-22 05:16,35.1,407.7
1000059,ZONE001,ZONE021,2025-12-23 04:12,27.9,231.18
1000060,ZONE035,ZONE100,2025-12-19 13:11,13.2,119.19
1000061,ZONE097,ZONE040,2025-12-24 08:10,28.8,331.54
1000062,ZONE036,ZONE056,2025-12-21 01:53,17.7,185.36
1000063,ZONE004,ZONE071,2025-12-22 23:05,24.7,237.5
1000064,ZONE052,ZONE077,2025-12-25 10:51,28.6,264.05
1000065,ZONE055,ZONE041,2025-12-22 14:26,17.2,144.22
1000066,ZONE050,ZONE051,2025-12-24 20:13,25.9,264.52
1000067,ZONE059,ZONE094,2025-12-25 12:04,38.4,356.54
1000068,ZONE072,ZONE087,2025-12-19 09:53,4.9,61.25
1000069,ZONE015,ZONE090,2025-12-20 19:12,14.1,160.71
1000070,ZONE092,ZONE028,2025-12-19 17:35,2.4,26.2
1000071,ZONE053,ZONE080,2025-12-21 00:06,33.9,372.63
1000072,ZONE030,ZONE034,2025-12-23 12:58,18.4,191.95
1000073,ZONE005,ZONE093,2025-12-21 14:27,25.1,227.97
1000074,ZONE023,ZONE059,2025-12-21 09:39,37.7,447.91
1000075,ZONE058,ZONE041,2025-12-20 16:42,30.3,270.89
1000076,ZONE074,ZONE005,2025-12-22 20:32,24.6,276.2
1000077,ZONE044,ZONE057,2025-12-25 04:47,40.0,389.13
1000078,ZONE017,ZONE016,2025-12-19 13:11,35.5,303.8
1000079,ZONE002,ZONE026,2025-12-22 22:30,33.3,318.99
1000080,ZONE027,ZONE068,2025-12-23 17:01,46.3,524.6
1000081,ZONE075,ZONE091,2025-12-23 14:19,39.0,452.75
1000082,ZONE098,ZONE072,2025-12-24 11:03,16.7,150.04
1000083,ZONE086,ZONE055,2025-12-19 16:27,8.8,82.62
1000084,ZONE092,ZONE066,2025-12-21 10:58,1.9,27.75
1000085,ZONE051,ZONE062,2025-12-21 12:34,49.7,589.31
1000086,ZONE039,ZONE066,2025-12-21 14:10,18.6,185.94
1000087,ZONE008,ZONE070,2025-12-18 20:06,28.8,244.42
1000088,ZONE010,ZONE089,2025-12-20 13:56,25.9,289.71
1000089,ZONE058,ZONE063,2025-12-20 03:37,20.8,178.33
1000090,ZONE086,ZONE028,2025-12-21 08:32,15.5,186.19
1000091,ZONE004,ZONE020,2025-12-23 11:30,13.6,167.65
1000092,ZONE067,ZONE057,2025-12-21 16:30,45.3,453.13
1000093,ZONE086,ZONE056,2025-12-19 14:58,24.0,258.61
1000094,ZONE062,ZONE094,2025-12-24 15:48,10.1,87.94
1000095,ZONE090,ZONE026,2025-12-20 13:50,47.6,567.88
1000096,ZONE049,ZONE043,2025-12-22 10:30,19.0,202.76
1000097,ZONE061,ZONE020,2025-12-20 16:06,40.6,475.22
1000098,ZONE090,ZONE057,2025-12-23 01:06,43.1,422.98
1000099,ZONE046,ZONE022,2025-12-19 07:55,5.4,52.47
1000100,ZONE061,ZONE003,2025-12-23 02:17,4.1,39.74
1000101,ZONE076,ZONE006,2025-12-21 07:15,6.9,83.69
1000102,ZONE045,ZONE067,2025-12-22 18:30,16.5,158.13
1000103,ZONE016,ZONE100,2025-12-21 04:11,47.1,525.19
1000104,ZONE069,ZONE074,2025-12-24 08:53,23.5,212.76
1000105,ZONE020,ZONE021,2025-12-22 02:39,32.3,272.98
1000106,ZONE073,ZONE015,2025-12-25 09:53,43.4,496.68
1000107,ZONE027,ZONE053,2025-12-25 05:28,3.0,35.26
1000108,ZONE046,ZONE052,2025-12-25 13:21,20.9,248.5
1000109,ZONE030,ZONE079,2025-12-21 11:47,2.0,23.76
1000110,ZONE015,ZONE089,2025-12-22 11:55,31.3,281.74
1000111,ZONE032,ZONE039,2025-12-20 08:15,23.5,278.86
1000112,ZONE022,ZONE088,2025-12-20 01:06,14.0,150.36
1000113,ZONE085,ZONE060,2025-12-20 02:29,38.9,336.68
1000114,ZONE068,ZONE067,2025-12-24 06:28,46.3,495.92
1000115,ZONE014,ZONE048,2025-12-19 10:15,38.9,451.91
1000116,ZONE033,ZONE068,2025-12-18 23:37,3.1,41.96
1000117,ZONE075,ZONE036,2025-12-24 02:42,4.4,48.49
1000118,ZONE008,ZONE058,2025-12-24 14:17,19.1,191.31
1000119,ZONE098,ZONE037,2025-12-24 06:36,14.4,155.09
1000120,ZONE061,ZONE091,2025-12-20 10:51,33.4,333.76
1000121,ZONE057,ZONE044,2025-12-23 21:01,26.4,292.41
1000122,ZONE070,ZONE093,2025-12-19 14:56,1.1,16.47
1000123,ZONE022,ZONE071,2025-12-20 22:17,7.4,73.47
1000124,ZONE070,ZONE033,2025-12-19 23:04,46.7,406.27
1000125,ZONE003,ZONE010,2025-12-18 18:30,33.8,316.9
1000126,ZONE085,ZONE036,2025-12-24 14:55,41.4,339.49
1000127,ZONE014,ZONE027,2025-12-19 08:06,1.7,19.14
1000128,ZONE065,ZONE039,2025-12-21 13:59,28.0,256.01
1000129,ZONE089,ZONE088,2025-12-18 20:17,40.7,336.73
1000130,ZONE053,ZONE073,2025-12-24 03:48,47.7,570.62
1000131,ZONE044,ZONE058,2025-12-21 08:50,21.0,245.34
1000132,ZONE077,ZONE007,2025-12-23 22:43,36.0,312.03
1000133,ZONE030,ZONE015,2025-12-22 02:08,8.9,86.39
1000134,ZONE085,ZONE062,2025-12-20 12:59,47.8,431.32
1000135,ZONE034,ZONE008,2025-12-20 22:15,1.4,18.3
1000136,ZONE037,ZONE030,2025-12-25 01:15,6.2,55.51
1000137,ZONE015,ZONE096,2025-12-22 02:19,16.5,157.92
1000138,ZONE087,ZONE078,2025-12-23 07:26,45.9,472.4
1000139,ZONE016,ZONE017,2025-12-19 01:15,37.0,373.41
1000140,ZONE062,ZONE002,2025-12-20 11:12,10.5,94.73
1000141,ZONE023,ZONE070,2025-12-22 20:50,9.3,89.42
1000142,ZONE092,ZONE008,2025-12-19 20:48,30.2,346.03
1000143,ZONE031,ZONE022,2025-12-22 17:32,21.4,186.03
1000144,ZONE070,ZONE084,2025-12-20 12:40,40.4,427.99
